Sentiment,Phrase
1,perfectly entertaining
1,perfectly
1,any creature-feature fan
1,fan
1,you cross toxic chemicals with a bunch of exotic creatures
-1,toxic
1,of exotic creatures
1,exotic creatures
-1,"you get a lot of running around , screaming and death ."
-1,"a lot of running around , screaming and death"
-1,"running around , screaming"
1,You bet there is and it 's what makes this rather convoluted journey worth taking
1,it 's what makes this rather convoluted journey worth taking
1,makes this rather convoluted journey worth taking
1,this rather convoluted journey worth taking
-1,this rather convoluted journey
-1,rather convoluted journey
-1,rather convoluted
-1,convoluted
1,worth taking
1,"Before it takes a sudden turn and devolves into a bizarre sort of romantic comedy , Steven Shainberg 's adaptation of Mary Gaitskill 's harrowing short story ... is a brilliantly played , deeply unsettling experience ."
-1,it takes a sudden turn and devolves into a bizarre sort of romantic comedy
-1,takes a sudden turn and devolves
-1,a sudden turn and devolves
-1,turn and devolves
-1,devolves
-1,bizarre
1,", Steven Shainberg 's adaptation of Mary Gaitskill 's harrowing short story ... is a brilliantly played , deeply unsettling experience ."
1,"Steven Shainberg 's adaptation of Mary Gaitskill 's harrowing short story ... is a brilliantly played , deeply unsettling experience ."
1,Steven Shainberg 's adaptation
1,"... is a brilliantly played , deeply unsettling experience ."
1,"is a brilliantly played , deeply unsettling experience ."
1,"is a brilliantly played , deeply unsettling experience"
1,"a brilliantly played , deeply unsettling experience"
1,brilliantly played
1,brilliantly
-1,", deeply unsettling experience"
-1,deeply unsettling experience
-1,deeply unsettling
-1,Kim Ki-Deok seems to have in mind an -LRB- emotionally at least -RRB- adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested .
1,Ki-Deok
-1,seems to have in mind an -LRB- emotionally at least -RRB- adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested .
-1,seems to have in mind an -LRB- emotionally at least -RRB- adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested
-1,in mind an -LRB- emotionally at least -RRB- adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested
-1,an -LRB- emotionally at least -RRB- adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested
1,emotionally at least -RRB-
-1,least
-1,demanding regular shocks and bouts of barely defensible sexual violence to keep it interested
-1,demanding
-1,of barely defensible sexual violence to keep it interested
-1,barely defensible sexual violence to keep it interested
-1,barely defensible sexual violence
-1,violence
1,to keep it interested
1,keep it interested
-1,"Has no reason to exist , other than to employ Hollywood kids and people who owe favors to their famous parents ."
-1,Has no reason to exist
-1,no reason to exist
-1,other than to employ Hollywood kids and people who owe favors to their famous parents .
1,than to employ Hollywood kids and people who owe
1,Hollywood kids
1,A well-made but emotionally scattered film whose hero gives his heart only to the dog
1,A well-made
1,well-made
-1,emotionally scattered film whose hero gives his heart only to the dog
-1,emotionally scattered film
-1,scattered
1,hero
1,gives his heart
1,his heart
1,dog
1,"Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie"
1,"who love Cinema Paradiso will find the new scenes interesting , but few will find the movie"
1,"Cinema Paradiso will find the new scenes interesting , but"
1,"Cinema Paradiso will find the new scenes interesting ,"
1,Cinema Paradiso will find the new scenes interesting
1,will find the new scenes interesting
1,find the new scenes interesting
1,the new scenes interesting
-1,few will find the movie
1,will find the movie
1,improved .
1,improved
1,Campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
1,gets the tone just right -- funny in the middle of sad in the middle of hopeful .
1,gets the tone just right -- funny in the middle of sad in the middle of hopeful
1,gets the tone just right --
1,gets the tone just right
1,just right
1,funny in the middle of sad in the middle of hopeful
-1,sad
1,in the middle of hopeful
1,of hopeful
-1,Nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises .
-1,Nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises
-1,than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises
-1,amiable but unfocused
1,amiable but
1,amiable
-1,unfocused
-1,that plays like a loosely-connected string of acting-workshop exercises
-1,plays like a loosely-connected string of acting-workshop exercises
-1,loosely-connected string
1,string
1,It 's a sharp movie about otherwise dull subjects .
1,'s a sharp movie about otherwise dull subjects .
1,'s a sharp movie about otherwise dull subjects
1,a sharp movie about otherwise dull subjects
1,a sharp movie
1,sharp movie
1,sharp
-1,about otherwise dull subjects
-1,otherwise dull subjects
-1,otherwise dull
-1,dull
-1,"gets a bit heavy handed with his message at times , and has a visual flair that waxes poetic far too much for our taste ."
-1,"gets a bit heavy handed with his message at times , and has a visual flair that waxes poetic far too much for our taste"
-1,"gets a bit heavy handed with his message at times , and"
-1,gets a bit heavy handed with his message at times
-1,a bit heavy handed with his message at times
-1,has a visual flair that waxes poetic far too much for our taste
-1,a visual flair that waxes poetic far too much for our taste
1,visual flair
-1,that waxes poetic far too much for our taste
-1,waxes poetic far too much for our taste
1,poetic
-1,far too much for our taste
-1,far too much
-1,too much
1,Charming and funny -LRB- but ultimately silly -RRB- movie
1,Charming and
1,Charming
-1,-LRB- but ultimately silly -RRB-
-1,-LRB- but ultimately silly
1,"the one thing this Wild film has that other Imax films do n't : chimps , lots of chimps , all blown up to the size of a house ."
1,this Wild film
1,Wild film
-1,"has that other Imax films do n't : chimps , lots of chimps , all blown up to the size of a house ."
-1,"that other Imax films do n't : chimps , lots of chimps , all blown up to the size of a house"
-1,all blown up to the size of a house
1,blown up to the size of a house
-1,blown
-1,"Starts out mediocre , spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion ."
-1,out mediocre
-1,"spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion ."
-1,"spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion"
-1,"spirals downward , and"
-1,"spirals downward ,"
-1,spirals downward
-1,downward
-1,thuds
-1,the bottom of the pool with an utterly incompetent conclusion
-1,of the pool with an utterly incompetent conclusion
-1,the pool with an utterly incompetent conclusion
-1,with an utterly incompetent conclusion
-1,an utterly incompetent conclusion
-1,utterly incompetent conclusion
-1,utterly incompetent
-1,incompetent
1,This is a children 's film in the truest sense .
1,is a children 's film in the truest sense .
1,is a children 's film in the truest sense
1,a children 's film in the truest sense
1,children
1,in the truest sense
1,truest sense
-1,Horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .
-1,Horrendously
-1,amateurish
-1,filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .
-1,filmmaking that is plainly dull and visually ugly when it is n't incomprehensible
-1,that is plainly dull and visually ugly when it is n't incomprehensible
-1,is plainly dull and visually ugly when it is n't incomprehensible
-1,is plainly dull and visually ugly
-1,plainly dull and visually ugly
-1,plainly dull
-1,visually ugly
-1,when it is n't incomprehensible
-1,incomprehensible
1,"Beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing ."
1,Beautifully
1,"crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing ."
1,"crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing"
1,"crafted ,"
1,crafted
1,"engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing"
1,"filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing"
1,"that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing"
1,"should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing"
1,"attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing"
1,"upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing"
1,upscale
1,"hungry for quality and a nostalgic , twisty yarn that will keep them guessing"
1,"for quality and a nostalgic , twisty yarn that will keep them guessing"
1,"quality and a nostalgic , twisty yarn that will keep them guessing"
1,quality
1,"a nostalgic , twisty yarn that will keep them guessing"
1,"nostalgic , twisty yarn"
1,nostalgic
1,", twisty yarn"
1,that will keep them guessing
1,keep them guessing
-1,An awkwardly contrived exercise in magic realism .
-1,An awkwardly contrived exercise in magic realism
-1,An awkwardly contrived exercise
-1,awkwardly contrived exercise
-1,"The punch lines that miss , unfortunately , outnumber the hits by three-to-one ."
-1,The punch lines that miss
1,The punch lines
-1,that miss
-1,miss
-1,"unfortunately , outnumber the hits by three-to-one ."
-1,unfortunately
-1,outnumber the hits by three-to-one .
1,"Like Smoke Signals , the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama"
1,Smoke Signals
1,", the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama"
1,the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama
1,is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama
1,imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama
1,with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama
1,strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama
1,strong themes of familial ties and
1,strong themes of familial ties
1,strong themes
1,familial
1,spirituality that are powerful and moving without stooping to base melodrama
1,that are powerful and moving without stooping to base melodrama
1,are powerful and moving without stooping to base melodrama
1,powerful and moving without stooping to base melodrama
1,powerful and moving
1,powerful and
1,moving
-1,stooping to base melodrama
-1,stooping
1,Evokes the style and flash of the double-cross that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun .
1,Evokes the style and flash of the double-cross that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun
1,Evokes
1,the style and flash of the double-cross that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun
1,style and flash
1,style and
1,of the double-cross that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun
1,the double-cross that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun
1,that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun
1,made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun
1,Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun
1,fall 's
1,so much fun
1,"The film aims to be funny , uplifting and moving , sometimes all at once ."
1,"aims to be funny , uplifting and moving , sometimes all at once ."
1,"aims to be funny , uplifting and moving , sometimes all at once"
1,"aims to be funny , uplifting and moving , sometimes"
1,"to be funny , uplifting and moving , sometimes"
1,"be funny , uplifting and moving , sometimes"
1,"be funny , uplifting and moving ,"
1,"be funny , uplifting and moving"
1,"funny , uplifting and moving"
1,", uplifting and moving"
1,uplifting and moving
1,uplifting and
1,uplifting
-1,", we need more X and less blab ."
-1,need more X and less blab .
-1,need more X and less blab
1,more X
-1,less blab
-1,blab
-1,The Spalding Gray equivalent of a teen gross-out comedy
-1,There 's a great deal of corny dialogue and preposterous moments .
-1,'s a great deal of corny dialogue and preposterous moments
-1,a great deal of corny dialogue and preposterous moments
1,a great deal
1,great deal
-1,of corny dialogue and preposterous moments
-1,corny dialogue and preposterous moments
-1,dialogue and preposterous moments
-1,preposterous moments
-1,preposterous
1,Uneven but a lot of fun .
1,Uneven but a lot of fun
-1,Uneven
1,of fun
-1,might look like Vulgar .
-1,The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .
-1,The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic
-1,The film rehashes several old themes and is capped with pointless extremes --
-1,The film rehashes several old themes and is capped with pointless extremes
-1,rehashes several old themes and is capped with pointless extremes
-1,rehashes several old themes
-1,rehashes
-1,several old themes
-1,is capped with pointless extremes
-1,capped with pointless extremes
-1,with pointless extremes
-1,pointless extremes
-1,pointless
1,it 's insanely violent and very graphic
-1,'s insanely violent and very graphic
-1,insanely violent and very graphic
-1,insanely violent
1,The dragons are the real stars of Reign of Fire and you wo n't be disappointed .
1,The dragons are the real stars of Reign of Fire and you wo n't be disappointed
1,The dragons are the real stars of Reign of Fire and
-1,dragons
1,real stars
1,real
1,Reign
-1,Fire
1,you wo n't be disappointed
1,wo n't be disappointed
-1,be disappointed
-1,disappointed
-1,It never plays as dramatic even when dramatic things happen to people .
-1,never plays as dramatic even when dramatic things happen to people .
1,plays as dramatic
1,dramatic
-1,dramatic things happen to people
1,Manages to please its intended audience -- children -- without placing their parents in a coma-like state .
1,to please its intended audience -- children -- without placing their parents in a coma-like state .
1,to please its intended audience -- children -- without placing their parents in a coma-like state
1,its intended audience -- children --
1,without placing their parents in a coma-like state
1,placing their parents
-1,a coma-like state
-1,coma-like state
-1,The movie generates plot points with a degree of randomness usually achieved only by lottery drawing .
-1,generates plot points with a degree of randomness usually achieved only by lottery drawing .
1,generates plot points
-1,with a degree of randomness usually achieved only by lottery drawing
-1,a degree of randomness usually achieved only by lottery drawing
-1,of randomness usually achieved only by lottery drawing
-1,randomness usually achieved only by lottery drawing
1,achieved
1,the film never veers from its comic course
1,never veers from its comic course
-1,veers from its comic course
-1,veers
1,from its comic course
1,its comic course
-1,", its unintentional parallels might inadvertently evoke memories and emotions which are anything but humorous ."
-1,its unintentional parallels might inadvertently evoke memories and emotions which are anything but humorous .
-1,might inadvertently evoke memories and emotions which are anything but
1,evoke memories and emotions which are anything
1,humorous
-1,The film can depress you about life itself .
-1,can depress you about life itself .
-1,can depress you about life itself
-1,depress you about life itself
-1,depress you
-1,depress
-1,"If you saw it on TV , you 'd probably turn it off , convinced that you had already seen that movie ."
1,TV
-1,", you 'd probably turn it off , convinced that you had already seen that movie ."
-1,"you 'd probably turn it off , convinced that you had already seen that movie ."
-1,"'d probably turn it off , convinced that you had already seen that movie ."
-1,"'d probably turn it off , convinced that you had already seen that movie"
-1,"'d probably turn it off ,"
-1,'d probably turn it off
-1,turn it off
1,convinced
-1,that you had already seen that movie
-1,you had already seen that movie
-1,You get the impression that writer and director Burr Steers knows the territory ... but his sense of humor has yet to lose the smug self-satisfaction usually associated with the better private schools .
1,You get the impression that writer and director Burr Steers knows the territory ...
1,get the impression that writer and director Burr Steers knows the territory
1,impression
1,that writer and director Burr Steers knows the territory
1,writer and director Burr Steers knows the territory
1,humor
-1,to lose the smug self-satisfaction usually associated with the better private schools
-1,lose
-1,the smug self-satisfaction usually associated with the better private schools
-1,the smug self-satisfaction
-1,smug self-satisfaction
-1,smug
1,This is a superior horror flick .
1,is a superior horror flick .
1,is a superior horror flick
1,a superior horror flick
1,superior horror flick
1,superior
-1,The movie 's heavy-handed screenplay
-1,heavy-handed
-1,navigates a fast fade into pomposity and pretentiousness .
-1,navigates a fast fade into pomposity and pretentiousness
-1,a fast fade
-1,fast fade
-1,into pomposity and pretentiousness
-1,pomposity and pretentiousness
1,pomposity and
-1,pomposity
-1,pretentiousness
-1,A little weak -- and it is n't that funny .
-1,A little weak
-1,weak
-1,-- and it is n't that funny .
-1,and it is n't that funny .
-1,and it is n't that funny
-1,it is n't that funny
-1,is n't that funny
-1,But they do n't fit well together and neither is well told .
-1,they do n't fit well together and neither is well told .
-1,they do n't fit well together and neither is well told
-1,they do n't fit well together and
-1,they do n't fit well together
-1,do n't fit well together
1,fit well together
1,well together
-1,neither is well told
1,is well told
1,is well
-1,Being latently gay
-1,latently gay
1,liking
-1,are hardly enough .
-1,are hardly enough
-1,hardly enough
1,More sophisticated and literate than such pictures usually are ... an amusing little catch .
1,More sophisticated and literate than such pictures usually are ... an amusing little catch
1,More sophisticated and literate than such pictures usually are ...
1,More sophisticated and literate than such pictures usually are
1,More sophisticated and literate than such pictures
1,More sophisticated and
1,sophisticated
1,literate
1,an amusing little catch
1,little catch
-1,Storytelling feels slight .
1,Monte Cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .
1,smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .
1,smartly
1,emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .
1,emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds
1,emphasizes the well-wrought story and
1,emphasizes the well-wrought story
1,the well-wrought story
1,well-wrought story
1,well-wrought
-1,omits
-1,needless chase scenes and swordfights as the revenge unfolds
-1,needless
1,It 's a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor .
1,'s a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor .
1,'s a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor
1,a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor
1,a fairy tale
1,comes from a renowned Indian film culture that allows Americans to finally revel in its splendor
1,from a renowned Indian film culture that allows Americans to finally revel in its splendor
1,a renowned Indian film culture that allows Americans to finally revel in its splendor
1,a renowned Indian film culture
1,renowned
1,that allows Americans to finally revel in its splendor
1,allows Americans to finally revel in its splendor
1,Americans to finally revel in its splendor
1,Americans
1,to finally revel in its splendor
1,finally revel in its splendor
1,revel in its splendor
1,in its splendor
1,its splendor
1,splendor
1,Well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances of the grieving process .
1,Well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances of the grieving process
1,Well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances
1,Well-done supernatural thriller with keen insights
1,Well-done supernatural thriller
1,Well-done
1,supernatural thriller
1,keen insights
1,keen
1,into parapsychological phenomena and the soulful nuances
1,parapsychological phenomena and the soulful nuances
1,parapsychological
1,the soulful nuances
1,soulful nuances
1,soulful
1,nuances
-1,of the grieving process
-1,the grieving process
-1,"from the latest eccentric , super-wealthy megalomaniac bent on world domination and destruction"
1,the latest eccentric
1,latest eccentric
-1,super-wealthy megalomaniac bent on world domination and destruction
1,on world domination and destruction
-1,domination and destruction
-1,destruction
-1,"It is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound ."
-1,"is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound ."
-1,"is depressing , ruthlessly pained and depraved , the movie equivalent of staring into an open wound"
-1,"is depressing , ruthlessly pained and depraved ,"
1,"is depressing , ruthlessly pained and depraved"
-1,"depressing , ruthlessly pained and depraved"
-1,"depressing , ruthlessly pained"
-1,"depressing ,"
-1,depressing
-1,ruthlessly pained
-1,pained
-1,depraved
-1,the movie equivalent of staring into an open wound
1,staring
-1,an open wound
1,Damon brings the proper conviction to his role as -LRB- Jason Bourne -RRB- .
1,brings the proper conviction to his role as -LRB- Jason Bourne -RRB- .
1,brings the proper conviction to his role as -LRB- Jason Bourne -RRB-
1,brings the proper conviction
1,the proper conviction
-1,Parents beware ; this is downright movie penance .
-1,Parents beware ; this is downright movie penance
1,Parents beware ;
-1,Parents beware
-1,this is downright movie penance
1,is downright movie penance
-1,downright movie penance
1,"When it 's this rich and luscious , who cares ?"
1,When it 's this rich and luscious
1,it 's this rich and luscious
1,'s this rich and luscious
1,this rich and luscious
1,rich and luscious
1,rich and
1,rich
1,luscious
-1,who cares ?
1,cares
-1,A singularly off-putting romantic comedy .
-1,singularly off-putting romantic comedy .
-1,off-putting romantic comedy .
-1,off-putting
-1,instead opts for a routine slasher film that was probably more fun to make than it is to sit through .
-1,opts for a routine slasher film that was probably more fun to make than it is to sit through .
-1,opts for a routine slasher film that was probably more fun to make than it is to sit through
-1,for a routine slasher film that was probably more fun to make than it is to sit through
-1,a routine slasher film that was probably more fun to make than it is to sit through
-1,slasher film
-1,that was probably more fun to make than it is to sit through
-1,was probably more fun to make than it is to sit through
-1,more fun to make than it is to sit through
-1,fun to make than it is to sit through
-1,than it is to sit through
-1,"Would 've been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film 's predictable denouement ."
-1,"'ve been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film 's predictable denouement"
-1,"been nice if the screenwriters had trusted audiences to understand a complex story , and left off the film 's predictable denouement"
1,nice
1,trusted audiences
1,a complex story
1,complex story
1,complex
-1,left off the film 's predictable denouement
-1,the film 's predictable denouement
-1,predictable denouement
-1,"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find ."
-1,"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find"
-1,"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place , but"
-1,"A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place ,"
-1,A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : Everyone has shown up at the appointed time and place
-1,A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' :
-1,A superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with '
-1,A superfluous sequel ...
-1,A superfluous sequel
-1,superfluous sequel
-1,plagued by that old familiar feeling of ` let 's get this thing over with '
-1,by that old familiar feeling of ` let 's get this thing over with '
-1,that old familiar feeling of ` let 's get this thing over with '
-1,of ` let 's get this thing over with
-1,let 's get this thing over with
-1,'s get this thing over with
-1,get this thing over with
-1,over with
1,visible enthusiasm
1,enthusiasm
1,mighty
1,"An earnest , roughshod document , it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool ."
1,"An earnest , roughshod document"
1,document
1,", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool ."
1,"it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool ."
1,"serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool ."
1,"serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool"
1,"serves as a workable primer for the region 's recent history ,"
1,serves as a workable primer for the region 's recent history
1,as a workable primer for the region 's recent history
1,a workable primer
1,make a terrific 10th-grade learning tool
1,terrific 10th-grade learning tool
1,terrific
-1,Cloaks a familiar anti-feminist equation -LRB- career - kids = misery -RRB- in tiresome romantic-comedy duds .
-1,a familiar anti-feminist equation -LRB- career - kids = misery -RRB- in tiresome romantic-comedy duds
1,a familiar anti-feminist equation -LRB- career - kids = misery -RRB-
-1,anti-feminist
-1,career - kids = misery -RRB-
-1,career - kids = misery
1,career
-1,kids = misery
-1,misery
-1,tiresome
-1,romantic-comedy duds
-1,duds
-1,A film that plays things so nice 'n safe as to often play like a milquetoast movie of the week blown up for the big screen .
1,A film that plays things so nice
1,that plays things so nice
1,things so nice
-1,'n safe as to often play like a milquetoast movie of the week blown up for the big screen .
-1,'n safe as to often play like a milquetoast movie of the week blown up for the big screen
-1,safe as to often play like a milquetoast movie of the week blown up for the big screen
1,safe
-1,to often play like a milquetoast movie of the week blown up for the big screen
-1,often play like a milquetoast movie of the week blown up for the big screen
-1,play like a milquetoast movie of the week blown up for the big screen
-1,like a milquetoast movie of the week blown up for the big screen
-1,a milquetoast movie of the week blown up for the big screen
-1,a milquetoast movie
-1,milquetoast
-1,of the week blown up for the big screen
-1,the week blown up for the big screen
1,His work transcends the boy-meets-girl posturing of typical love stories .
1,transcends the boy-meets-girl posturing of typical love stories .
1,transcends the boy-meets-girl posturing of typical love stories
1,transcends
-1,typical
-1,"An even more predictable , cliche-ridden endeavor than its predecessor ."
-1,"even more predictable , cliche-ridden"
-1,even more predictable
-1,", cliche-ridden"
-1,cliche-ridden
-1,Plays like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .
-1,like a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story .
-1,a bad blend of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story
-1,a bad blend
-1,bad blend
-1,of an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story
-1,an overripe episode of TV 's Dawson 's Creek and a recycled and dumbed-down version of Love Story
-1,an overripe episode of TV 's Dawson 's Creek and
-1,an overripe episode of TV 's Dawson 's Creek
-1,overripe episode
-1,a recycled and dumbed-down version of Love Story
-1,a recycled and dumbed-down version
-1,recycled and dumbed-down version
-1,recycled
-1,dumbed-down version
-1,dumbed-down
-1,"The script covers huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people ."
-1,"covers huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people ."
-1,"covers huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people"
-1,"huge , heavy topics in a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people"
-1,"a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people"
-1,"a bland , surfacey way"
-1,"bland , surfacey way"
-1,"bland , surfacey"
-1,bland
-1,"that does n't offer any insight into why , for instance , good things happen to bad people"
-1,"does n't offer any insight into why , for instance , good things happen to bad people"
1,any insight
-1,"why , for instance , good things happen to bad people"
-1,"for instance , good things happen to bad people"
1,good things happen to bad people
1,good things
-1,bad people
-1,The film is so bad it does n't improve upon the experience of staring at a blank screen .
-1,is so bad it does n't improve upon the experience of staring at a blank screen .
-1,is so bad it does n't improve upon the experience of staring at a blank screen
-1,so bad it does n't improve upon the experience of staring at a blank screen
-1,bad it does n't improve upon the experience of staring at a blank screen
-1,it does n't improve upon the experience of staring at a blank screen
-1,does n't improve upon the experience of staring at a blank screen
-1,the experience of staring at a blank screen
-1,staring at a blank screen
-1,They threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans .
-1,threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans .
-1,threw loads of money at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans
-1,at an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans
-1,an idea that should 've been so much more even if it was only made for teenage boys and wrestling fans
-1,that should 've been so much more even if it was only made for teenage boys and wrestling fans
-1,should 've been so much more even if it was only made for teenage boys and wrestling fans
1,so much more
-1,it was only made for teenage boys and wrestling fans
-1,was only
-1,"It 's difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 ."
-1,"'s difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002"
-1,"difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002"
-1,difficult
-1,"to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002"
-1,"imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002"
-1,"that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002"
-1,"a more confused , less interesting and more sloppily made film could possibly come down the road in 2002"
-1,"a more confused , less interesting and more sloppily"
-1,"more confused , less interesting and more sloppily"
-1,"more confused , less interesting and more"
-1,"more confused , less interesting"
-1,"more confused ,"
-1,more confused
-1,confused
-1,sloppily
-1,road
1,"Though the film is well-intentioned , one could rent the original and get the same love story and parable ."
1,Though the film is well-intentioned
1,the film is well-intentioned
1,well-intentioned
-1,", one could rent the original and get the same love story and parable ."
-1,one could rent the original and get the same love story and parable .
-1,could rent the original and get the same love story and parable
1,get the same love story and parable
1,get the same love story and
-1,the same love story
-1,same love story
1,Jolting
1,the story has the sizzle of old news that has finally found the right vent -LRB- accurate ?
1,has the sizzle of old news that has finally found the right vent -LRB- accurate
1,the sizzle of old news that has finally found the right vent -LRB- accurate
-1,the sizzle of old news
1,that has finally found the right vent -LRB- accurate
1,has finally found the right vent -LRB- accurate
-1,vent -LRB-
1,"Sy , another of his open-faced , smiling madmen ,"
1,"another of his open-faced , smiling madmen"
1,open-faced
1,smiling
-1,the killer in Insomnia
-1,killer
-1,Insomnia
-1,Phoned-in business as usual .
-1,Phoned-in business
-1,"With its lackadaisical plotting and mindless action , All About the Benjamins evokes the bottom tier of blaxploitation flicks from the 1970s ."
-1,With its lackadaisical plotting and mindless action
-1,its lackadaisical plotting and mindless action
-1,lackadaisical plotting and mindless action
-1,lackadaisical
-1,plotting and mindless action
-1,plotting and mindless
1,plotting
-1,mindless
-1,", All About the Benjamins evokes the bottom tier of blaxploitation flicks from the 1970s ."
